,DATAafter cleaning,Sentimental  Analysis
58,mani use retriev result encourag simpl method stopword porterstyl steam etc usual yield signif improv higherlevel think pas word sen disambigu,positive
59,explain retriev use malayalam basic,neutral
60,state art plan recognit outlin relat processingnlp plan recognit argu effect inform other focu key recent result argu applic or 1,neutral
61,state art plan recognit outlin relat processingnlp plan recognit argu effect inform other focu key recent result argu applic or 1,neutral
62,retriev process find document document collect satisfi need user document construct motiv work investig use improv,positive
63,logic program within point opportun induct linguist within logic program keyword infect logic program logic program 1 introduct,negative
64,statist method use start definit concern design implement effect input output compon comput distinguish three,neutral
65,report collabor work field my present document structur two part first part includ superfici comprehen survey cover stateoftheart,positive
66,thesi examin variou mainli task extract text object improv adapt extract new rheumat domain or even,positive
67,chapter examin applic computerassist includ histori work field last thirtyf year focu current develop opportun 361,neutral
68,tradit approach interpret typic fall one three class syntaxdriven semanticsdriven frametask base syntaxdriven approach domainindepend grammar drive interpret process produc global pau,neutral
69,larg diver subtop artifici intellig result mani subtop includ optic charact recognit speech translat foreign read write aid translat speech recognit,neutral
70,probabilist intest string transduc fit extrem popular due power genet method appli compo them unfortun fit good fit much current work probabilist model,positive
71,special issu talk look fundament principl underli evalu adopt global point view goe beyond horizon singl evalu campaign particular protocol brief review histori terminolog,neutral
72,found,neutral
73,extract textur report shown effect limit domain particular typic requir substanti resourc develop benefici design easili,positive
74,fact form link in recent develop logic program prolong 1,negative
75,describ singl convolut neutral network architectur that given sentenc output host predict partofspeech tag chink name entiti tag semant role pedant similar word likelihood sentenc make sen grammat,neutral
76,develop prototyp retriev use advanc enhanc effect tradit eyford base document retriev backbon statist retriev engin perform automat index,neutral
77,found,neutral
78,discus sever issu requir enabl becom contextadapt given fact emerg featur speaker independ continu speech recognit restrict individu domain equip syntact,neutral
79,fall 2004 introduc new cour call appli student acquir understand current feasibl practic,positive
80,found,neutral
81,studi mathemat comput model variou aspect improv wide rang ari innat facil posse human intellect may,positive
82,branch artifici intellig includ speech synthesi speech recognit translat wide rang indian context rural indian commun unabl make,positive
83,evalu polit relat paul callaghan submit univ durham degr pad august 1997 address question how evalu like polit polit,neutral
84,previou work demonstr web count use approxim gram count suggest web frequenc use wide varieti howev limit number far test use webscal data set,negative
85,chapter examin applic computerassist includ histori work field last thirtyf year focu current develop opportun 161 introduct chapter focu,neutral
86,describ improv perform process short english narr abl acquir singl narr new scheme stereotyp set action understand process attempt,neutral
87,classifi review current approach softwar infrastructur develop deliveri task,neutral
88,confid measur practic solut improv use confid estim genet deriv confid measur give overview applic confid estim variou field,neutral
89,lesion sen sen dictionari love lesion sen sen ldbentryno 12364 lesion sen sen sen 0 load lb 9 expand fullyfledg repres transit experi integr wordspecif provid 9 end lb type stricttranssign thu although neither love lace earlier subcategori lesion contain psycholog verb sanfilippoaposs type use conjunct avail three prove possibl effect enrich time map formal repres 425 toward multilingu lb goal acquir demonstr lb produc use exploit variou mr sourc integr multilingu common ll common type make pas,neutral
90,describ design stanford cornel toolkit exten pipelin provid core toolkit quit wide use commun also among commerci govern user open sourc technolog suggest,neutral
91,russian process ga power model framework incorpor kersey bayesian infer recogni stateoftheart mani,positive
92,fundament issu prerequisit enorm quantiti preprogram concern domain examin manual acquisit tediou error prone develop automat acquisit,positive
93,support sophist significantli simplifi interfac domainspecif gener longu tic resourc present result experi design use upper model varieti past 5 year,positive
94,neighbor map node node may thu view word categori although prior class given selforgan process model word class emerg topic thesi so,neutral
95,present workbench built priberam informática develop company’ technolog workbench includ set linguist resourc softwar tool appli consid number practic purpo cover,neutral
96,abstract—natur effect bring improv educ set implement involv initi process acquisit educ base effect approach provid solut,positive
97,twenti year disfavor technolog return imit process brain experi sejnowski rosenberg 1986 demonstr neutral network comput architectur learn actual spoken observ rule pronunci,neutral
98,statist frequent use stylometri cryptographi studi statist tool develop iso prolong detail given usag 21 userc predict logic limit program also discus,neutral
99,summar experi use fragment two rather differ project conclud benefit fragment differ way sketch problem need overcom 1,positive
